Account,date,total_closed_pnl,mean_closed_pnl,trade_count,total_size_usd,performance_category,value,classification,sentiment_score,classification_score
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-10,17357.95761859997,127.63204131323506,136,311359.75,high,50.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-11,-2.454844,-0.350692,7,12495.93,low,69.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-15,-18.998214,-1.5831845,12,23322.579999999998,low,70.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-17,913.985947,16.034841175438597,57,371473.57,medium,75.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-18,-33.4413,-16.72065,2,233.32999999999998,low,77.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-19,7036.430659439987,95.08690080324307,74,557438.11,high,77.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-20,2437.4860407599936,29.725439521463336,82,688986.63,high,76.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-21,59.672564,3.9781709333333333,15,1877.13,medium,76.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-22,9179.36424215998,40.084560009432224,229,247436.25,high,84.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-23,4379.26871952,42.108353072307686,104,256691.2,high,75.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-24,363.482456,9.565327789473685,38,80749.22,medium,75.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-25,2167.17715,40.890134905660375,53,293480.87,high,75.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-30,159.201612,10.613440800000001,15,68836.72,medium,70.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-01-31,13681.65295715998,103.64888603909075,132,693980.8300000001,high,76.0,Extreme Greed,90,90
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-01,88.50699399999999,4.214618761904761,21,117810.02,medium,68.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-06,263.34967603999996,4.3172078039344255,61,228757.24,medium,49.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-07,-609.2838443999999,-4.089153318120805,149,318137.39,low,44.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-13,15222.843214439987,47.42318758392519,321,1148828.7,high,50.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-15,590.06989,12.554678510638297,47,60437.04,medium,50.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-20,3067.05165952,20.584239325637586,149,846463.22,high,49.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-21,7693.21898915998,128.22031648599966,60,168620.8,high,55.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-25,169.617628,7.0674011666666665,24,24395.72,medium,25.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-02-26,25.30602,2.530602,10,1565.3799999999999,medium,21.0,Extreme Fear,10,10
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-05,11113.173067,124.86711311235955,89,225852.67,high,20.0,Extreme Fear,10,10
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-06,279.152034,18.6101356,15,19309.91,medium,25.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-07,1.17533,0.39177666666666666,3,2917.95,medium,34.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-11,276.7687,21.289900000000003,13,50041.98,medium,24.0,Extreme Fear,10,10
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-13,924.898908,36.99595632,25,101871.15000000001,medium,45.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-21,1215.774424,16.429384108108106,74,113076.4,high,31.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-23,514.5145660000001,34.30097106666667,15,13789.95,medium,30.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-25,-2831.96640888,-13.421641748246445,211,422015.46,low,46.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-03-26,2323.99174,35.753719076923076,65,123160.59,high,47.0,Neutral,50,50
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-01,1334.414834,148.26831488888888,9,10737.4,high,34.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-02,1.1031579999999999,0.18385966666666664,6,2371.44,medium,44.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-03,160.127816,6.158762153846154,26,19222.63,medium,25.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-11,1419.922474,31.553832755555554,45,58974.83,high,25.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-14,18.103863,2.262982875,8,1068.26,medium,31.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-18,11.209037,1.601291,7,521.98,medium,33.0,Fear,30,30
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-23,29.8368,14.9184,2,2569.38,medium,72.0,Greed,70,70
0x2c229d22b100a7beb69122eed721cee9b24011dd,2025-04-25,0.18414,0.06138,3,141.26,medium,60.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-05-01,0.0,0.0,3,477.0,low,63.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-11,0.0,0.0,2,46133.87,low,76.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-15,152.85358,16.983731111111112,9,629.86,medium,52.0,Neutral,50,50
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-16,-281.53378096,-46.92229682666667,6,63482.08,low,64.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-01-28,-891.38859692,-81.03532699272728,11,18109.03,low,54.0,Neutral,50,50
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-04-16,0.0,0.0,1,91.08,low,65.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-05-29,0.0,0.0,5,30567.34,low,72.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-24,0.0,0.0,3,1.28,low,69.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-26,0.0,0.0,1,0.81,low,68.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-08-01,0.0,0.0,1,0.74,low,52.0,Neutral,50,50
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-08-03,0.0,0.0,1,0.65,low,37.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-08-04,0.0,0.0,1,0.01,low,34.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-08-06,215.754798,7.9909184444444445,27,771.0,medium,17.0,Extreme Fear,10,10
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-08-07,0.0,0.0,11,0.04,low,29.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-08-17,0.0,0.0,29,30037.26,low,25.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-08-30,0.0,0.0,1,0.69,low,34.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-09-05,0.0,0.0,1,0.84,low,29.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-18,48.185146,8.030857666666668,6,696.74,medium,83.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-19,0.0,0.0,1,0.01,low,90.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-29,10606.847320319961,189.40798786285646,56,101790.11,high,78.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-30,11379.938718479942,291.7933004738447,39,99705.14,high,84.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-12-01,13.566929,4.522309666666667,3,34.1,medium,81.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-12-02,0.0,0.0,1,0.0,low,80.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-12-14,0.0,0.0,36,199999.87,low,83.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-12-15,346.827642,57.804607000000004,6,702.1700000000001,medium,80.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-12-16,0.0,0.0,4,0.0,low,83.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-12-20,22.80272,7.600906666666667,3,45.55,medium,74.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-01-20,0.0,0.0,2,366.15999999999997,low,76.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-01-23,-137.78942048,-45.92980682666666,3,18.560000000000002,low,75.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-01-24,0.0,0.0,2,0.01,low,75.0,Extreme Greed,90,90
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-14,19.530304,9.765152,2,50.78,medium,48.0,Neutral,50,50
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-21,-350.632694,-50.09038485714286,7,1294.15,low,55.0,Greed,70,70
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-03-06,600.008922,16.21645735135135,37,51825.01,medium,25.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-03-10,-2857.16087616,-109.89080292923077,26,43000.520000000004,low,20.0,Extreme Fear,10,10
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-03-11,-11282.8761202,-94.81408504369749,119,231829.98,low,24.0,Extreme Fear,10,10
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-06,0.0,0.0,19,39996.37,low,34.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-07,6191.6953137199935,101.5032018642622,61,110509.7,high,23.0,Extreme Fear,10,10
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-09,0.0,0.0,30,39999.58,low,18.0,Extreme Fear,10,10
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-12,2466.604719,77.08139746875,32,35386.74,high,43.0,Fear,30,30
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-04-13,1076.778732,119.64208133333334,9,21069.02,high,45.0,Neutral,50,50
